time,switches
2019-07-12 11:35:56,398.3596
2019-07-12 11:35:55,356.6069
2019-07-12 11:35:54,299.198
2019-07-12 11:35:53,313.2385
2019-07-12 11:35:52,318.184
2019-07-12 11:35:51,312.8033
2019-07-12 11:35:50,320.7966
2019-07-12 11:35:49,304.5918
2019-07-12 11:35:48,313.2855
2019-07-12 11:35:47,311.8649
2019-07-12 11:35:46,360.8266
2019-07-12 11:35:45,373.3682
2019-07-12 11:35:44,397.0186
2019-07-12 11:35:43,380.0123
2019-07-12 11:35:42,331.7091
2019-07-12 11:35:41,337.8214
2019-07-12 11:35:40,336.0857
2019-07-12 11:35:39,314.8299
2019-07-12 11:35:38,296.6485
2019-07-12 11:35:37,308.8641
2019-07-12 11:35:36,345.6725
2019-07-12 11:35:35,316.8867
2019-07-12 11:35:34,318.0992
2019-07-12 11:35:33,321.1225
2019-07-12 11:35:32,336.5713
2019-07-12 11:35:31,317.2791
2019-07-12 11:35:30,314.6713
2019-07-12 11:35:29,297.0996
2019-07-12 11:35:28,297.3788
2019-07-12 11:35:27,296.7947
