time,running,blocked
2019-07-12 11:36:44,2,0
2019-07-12 11:36:43,4,0
2019-07-12 11:36:42,3,0
2019-07-12 11:36:41,4,0
2019-07-12 11:36:40,3,0
2019-07-12 11:36:39,2,0
2019-07-12 11:36:38,3,0
2019-07-12 11:36:37,4,0
2019-07-12 11:36:36,4,0
2019-07-12 11:36:35,4,0
2019-07-12 11:36:34,5,0
2019-07-12 11:36:33,4,0
2019-07-12 11:36:32,3,0
2019-07-12 11:36:31,5,0
2019-07-12 11:36:30,3,0
2019-07-12 11:36:29,5,0
2019-07-12 11:36:28,4,0
2019-07-12 11:36:27,4,0
2019-07-12 11:36:26,5,0
2019-07-12 11:36:25,3,0
2019-07-12 11:36:24,6,0
2019-07-12 11:36:23,2,0
2019-07-12 11:36:22,6,0
2019-07-12 11:36:21,4,0
2019-07-12 11:36:20,5,0
2019-07-12 11:36:19,4,0
2019-07-12 11:36:18,4,0
2019-07-12 11:36:17,3,0
2019-07-12 11:36:16,5,0
2019-07-12 11:36:15,4,0
2019-07-12 11:36:14,4,0
2019-07-12 11:36:13,4,0
2019-07-12 11:36:12,3,0
2019-07-12 11:36:11,6,0
2019-07-12 11:36:10,3,0
2019-07-12 11:36:09,6,0
2019-07-12 11:36:08,4,0
2019-07-12 11:36:07,5,0
2019-07-12 11:36:06,2,0
2019-07-12 11:36:05,5,0
2019-07-12 11:36:04,3,0
2019-07-12 11:36:03,3,0
2019-07-12 11:36:02,4,0
2019-07-12 11:36:01,2,0
2019-07-12 11:36:00,3,0
2019-07-12 11:35:59,5,0
2019-07-12 11:35:58,4,0
2019-07-12 11:35:57,4,0
2019-07-12 11:35:56,4,0
2019-07-12 11:35:55,4,0
2019-07-12 11:35:54,4,0
2019-07-12 11:35:53,5,0
2019-07-12 11:35:52,4,0
2019-07-12 11:35:51,3,0
2019-07-12 11:35:50,4,0
2019-07-12 11:35:49,2,0
2019-07-12 11:35:48,5,0
2019-07-12 11:35:47,3,0
2019-07-12 11:35:46,5,0
2019-07-12 11:35:45,3,0
2019-07-12 11:35:44,5,0
2019-07-12 11:35:43,2,0
2019-07-12 11:35:42,3,0
2019-07-12 11:35:41,5,0
2019-07-12 11:35:40,3,0
2019-07-12 11:35:39,2,0
2019-07-12 11:35:38,3,0
2019-07-12 11:35:37,4,0
2019-07-12 11:35:36,3,0
2019-07-12 11:35:35,5,0
2019-07-12 11:35:34,5,0
2019-07-12 11:35:33,3,0
2019-07-12 11:35:32,3,0
2019-07-12 11:35:31,3,0
2019-07-12 11:35:30,2,0
2019-07-12 11:35:29,2,0
2019-07-12 11:35:28,4,0
2019-07-12 11:35:27,5,0
2019-07-12 11:35:26,3,0
2019-07-12 11:35:25,5,0
2019-07-12 11:35:24,3,0
2019-07-12 11:35:23,3,0
2019-07-12 11:35:22,4,0
2019-07-12 11:35:21,3,0
2019-07-12 11:35:20,3,0
2019-07-12 11:35:19,5,0
2019-07-12 11:35:18,5,0
2019-07-12 11:35:17,12,0
2019-07-12 11:35:16,4,0
2019-07-12 11:35:15,2,0
2019-07-12 11:35:14,5,0
2019-07-12 11:35:13,3,0
2019-07-12 11:35:12,3,0
2019-07-12 11:35:11,4,0
2019-07-12 11:35:10,4,0
2019-07-12 11:35:09,4,0
2019-07-12 11:35:08,3,0
2019-07-12 11:35:07,5,0
2019-07-12 11:35:06,4,0
2019-07-12 11:35:05,4,0
2019-07-12 11:35:04,4,0
2019-07-12 11:35:03,4,0
2019-07-12 11:35:02,4,0
2019-07-12 11:35:01,5,0
2019-07-12 11:35:00,4,0
2019-07-12 11:34:59,4,0
2019-07-12 11:34:58,4,0
2019-07-12 11:34:57,5,0
2019-07-12 11:34:56,3,0
2019-07-12 11:34:55,5,0
2019-07-12 11:34:54,4,0
2019-07-12 11:34:53,4,0
